,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
194,0 days 04:05:00,J5,2035,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
195,0 days 04:10:00,J5,2084,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
196,0 days 04:15:00,J5,2128,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
197,0 days 04:20:00,J5,2025,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
198,0 days 04:25:00,J5,2052,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
199,0 days 04:30:00,J5,2119,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
200,0 days 04:35:00,J5,2136,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
201,0 days 04:40:00,J5,2093,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
202,0 days 04:45:00,J5,2155,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
203,0 days 04:50:00,J5,2114,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
204,0 days 04:55:00,J5,2201,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
205,0 days 05:00:00,J5,2136,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
206,0 days 05:05:00,J5,2142,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
207,0 days 05:10:00,J5,2168,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
208,0 days 05:15:00,J5,2215,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
209,0 days 05:20:00,J5,2167,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
210,0 days 05:25:00,J5,2180,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
211,0 days 05:30:00,J5,2163,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
212,0 days 05:35:00,J5,2249,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
213,0 days 05:40:00,J5,2203,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
214,0 days 05:45:00,J5,2237,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
215,0 days 05:50:00,J5,2259,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
216,0 days 05:55:00,J5,2307,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
217,0 days 06:00:00,J5,2278,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
218,0 days 06:05:00,J5,2239,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
219,0 days 06:10:00,J5,2311,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
220,0 days 06:15:00,J5,2225,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
221,0 days 06:20:00,J5,2246,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
222,0 days 06:25:00,J5,2286,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
223,0 days 06:30:00,J5,2300,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
224,0 days 06:35:00,J5,2326,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
225,0 days 06:40:00,J5,2316,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
226,0 days 06:45:00,J5,2303,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
227,0 days 06:50:00,J5,2410,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
228,0 days 06:55:00,J5,2401,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
229,0 days 07:00:00,J5,2361,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
230,0 days 07:05:00,J5,2372,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
231,0 days 07:10:00,J5,2478,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
232,0 days 07:15:00,J5,2358,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
233,0 days 07:20:00,J5,2388,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
