,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
182,0 days 03:05:00,J5,1852,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
183,0 days 03:10:00,J5,1926,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
184,0 days 03:15:00,J5,1912,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
185,0 days 03:20:00,J5,1892,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
186,0 days 03:25:00,J5,1898,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
187,0 days 03:30:00,J5,1930,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
188,0 days 03:35:00,J5,1892,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
189,0 days 03:40:00,J5,1926,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
190,0 days 03:45:00,J5,1952,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
191,0 days 03:50:00,J5,1900,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
192,0 days 03:55:00,J5,1912,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
193,0 days 04:00:00,J5,1962,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
194,0 days 04:05:00,J5,1967,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
195,0 days 04:10:00,J5,1999,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
196,0 days 04:15:00,J5,2022,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
197,0 days 04:20:00,J5,1963,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
198,0 days 04:25:00,J5,2016,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
199,0 days 04:30:00,J5,2035,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
200,0 days 04:35:00,J5,2006,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
201,0 days 04:40:00,J5,1980,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
202,0 days 04:45:00,J5,2071,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
203,0 days 04:50:00,J5,2063,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
204,0 days 04:55:00,J5,2067,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
205,0 days 05:00:00,J5,2036,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
206,0 days 05:05:00,J5,2104,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
207,0 days 05:10:00,J5,2113,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
208,0 days 05:15:00,J5,2121,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
209,0 days 05:20:00,J5,2084,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
210,0 days 05:25:00,J5,2146,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
211,0 days 05:30:00,J5,2126,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
212,0 days 05:35:00,J5,2159,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
213,0 days 05:40:00,J5,2449,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
214,0 days 05:45:00,J5,2145,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
215,0 days 05:50:00,J5,2140,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
216,0 days 05:55:00,J5,2231,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
217,0 days 06:00:00,J5,2171,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
218,0 days 06:05:00,J5,2215,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
219,0 days 06:10:00,J5,2222,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
220,0 days 06:15:00,J5,2245,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
