experiment_id,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
id,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
PPK_20250611_K17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,11.0,20.0,0.0,0.0,100.0,55.07743307721993,2.9857231206778025,1.3431906252293042,True,1
PPK_20250611_M11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,20.0,0.0,0.0,100.0,50.73887194428424,3.0983492823917773,1.305720830800935,True,1
PPK_20250611_M14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,20.0,0.0,0.0,100.0,49.48333096450702,3.1029750647886276,1.3111600790736135,True,1
PPK_20250611_M17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,20.0,0.0,0.0,100.0,46.45219044432364,3.0783848356606147,1.3378456167990624,True,1
PPK_20250612_A19,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,30.0,100.0,0.0256501397678076,5.841269841025949,2.260555553167758,False,1
PPK_20250612_A21,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,30.0,100.0,0.0655962926330688,5.333333333146617,3.3438888851357347,False,1
PPK_20250612_A23,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,30.0,100.0,0.0248575744371052,4.771929824321239,2.177222219684936,False,1
PPK_20250612_C19,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,0.0,2.0,30.0,100.0,0.0274025903564058,4.317460317092691,1.6772222199695146,False,1
PPK_20250612_C21,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,0.0,2.0,30.0,100.0,0.0324372197244378,3.368421052631583,1.5105555555555557,False,1
PPK_20250612_C23,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,0.0,2.0,30.0,100.0,0.0333952376468581,4.444444443434187,2.843888885898586,False,1
PPK_20250612_E19,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,0.0,2.0,30.0,100.0,0.0367618502728225,3.839999999638124,3.760555553854201,False,1
PPK_20250612_E21,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,0.0,2.0,30.0,100.0,0.0327553164949161,5.090909090784858,0.8438888873473203,False,1
PPK_20250612_E23,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,0.0,2.0,30.0,100.0,0.032631552378636,5.759999999738059,1.343888885932652,False,1
PPK_20250612_G19,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,0.0,2.0,30.0,100.0,0.0357738304198638,2.9090909089414385,2.260555554935167,False,1
PPK_20250612_G21,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,0.0,2.0,30.0,100.0,0.0406478266400276,3.555555555485292,2.0105555551097645,False,1
PPK_20250612_G23,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,12.0,0.0,2.0,30.0,100.0,0.0669824517076435,4.631578947312506,3.0105555546993292,False,1
PPK_20250612_I19,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,14.0,0.0,2.0,30.0,100.0,5.490792456484133,1.7009646574376691,2.3527228210836535,True,1
PPK_20250612_I21,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,14.0,0.0,2.0,30.0,100.0,5.967736166576239,1.715593495708395,2.3308422182336073,True,1
PPK_20250612_I23,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,14.0,0.0,2.0,30.0,100.0,9.426942441820977,1.7285424084367995,2.010440592250893,True,1
PPK_20250613_I1,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,14.0,0.0,2.0,30.0,100.0,3.5956920398497374,1.5331514856616104,2.589722496521374,True,1
